time,lat,lon,pre
1904-02-15,3.75,-73.25,64.700005
1904-02-15,4.25,-74.75,128.6
1904-02-15,4.25,-74.25,56.3
1904-02-15,4.25,-73.75,136.0
1904-02-15,4.25,-73.25,98.8
1904-02-15,4.75,-74.75,115.8
1904-02-15,4.75,-74.25,98.8
1904-02-15,4.75,-73.75,47.8
1904-02-15,4.75,-73.25,77.5
1904-02-15,5.25,-74.75,133.8
1904-02-15,5.25,-74.25,144.5
1904-02-15,5.25,-73.75,40.4
1904-02-15,5.25,-73.25,22.300001
1904-03-16,3.75,-74.75,310.1
1904-03-16,3.75,-74.25,187.1
1904-03-16,3.75,-73.75,526.60004
1904-03-16,3.75,-73.25,294.0
1904-03-16,4.25,-74.75,321.5
1904-03-16,4.25,-74.25,148.2
1904-03-16,4.25,-73.75,438.5
1904-03-16,4.25,-73.25,280.4
1904-03-16,4.75,-74.75,303.9
1904-03-16,4.75,-74.25,188.3
1904-03-16,4.75,-73.75,134.2
1904-03-16,4.75,-73.25,275.0
1904-03-16,5.25,-74.75,374.1
1904-03-16,5.25,-74.25,320.0
1904-03-16,5.25,-73.75,129.90001
1904-03-16,5.25,-73.25,85.1
1904-04-16,3.75,-74.75,293.0
1904-04-16,3.75,-74.25,194.7
1904-04-16,3.75,-73.75,765.10004
1904-04-16,3.75,-73.25,448.80002
1904-04-16,4.25,-74.75,329.80002
1904-04-16,4.25,-74.25,169.1
1904-04-16,4.25,-73.75,488.7
1904-04-16,4.25,-73.25,525.0
1904-04-16,4.75,-74.75,268.4
1904-04-16,4.75,-74.25,190.1
1904-04-16,4.75,-73.75,173.0
1904-04-16,4.75,-73.25,366.0
1904-04-16,5.25,-74.75,318.80002
1904-04-16,5.25,-74.25,331.30002
1904-04-16,5.25,-73.75,150.5
1904-04-16,5.25,-73.25,143.3
1904-05-16,3.75,-74.75,189.5
1904-05-16,3.75,-74.25,183.2
1904-05-16,3.75,-73.75,642.2
1904-05-16,3.75,-73.25,401.4
1904-05-16,4.25,-74.75,251.0
1904-05-16,4.25,-74.25,150.7
1904-05-16,4.25,-73.75,544.7
1904-05-16,4.25,-73.25,487.4
1904-05-16,4.75,-74.75,203.0
1904-05-16,4.75,-74.25,159.40001
1904-05-16,4.75,-73.75,137.6
1904-05-16,4.75,-73.25,440.7
1904-05-16,5.25,-74.75,273.7
1904-05-16,5.25,-74.25,271.80002
1904-05-16,5.25,-73.75,99.3
1904-05-16,5.25,-73.25,153.6
1904-06-16,3.75,-74.75,43.3
1904-06-16,3.75,-74.25,63.5
1904-06-16,3.75,-73.75,218.40001
1904-06-16,3.75,-73.25,143.90001
1904-06-16,4.25,-74.75,47.7
1904-06-16,4.25,-74.25,46.5
1904-06-16,4.25,-73.75,212.90001
1904-06-16,4.25,-73.25,166.2
1904-06-16,4.75,-74.75,40.8
1904-06-16,4.75,-74.25,32.9
1904-06-16,4.75,-73.75,49.4
1904-06-16,4.75,-73.25,178.1
1904-06-16,5.25,-74.75,52.4
1904-06-16,5.25,-74.25,53.3
1904-06-16,5.25,-73.75,29.5
1904-06-16,5.25,-73.25,62.5
1904-07-16,3.75,-74.75,74.8
1904-07-16,3.75,-74.25,167.40001
1904-07-16,3.75,-73.75,503.2
1904-07-16,3.75,-73.25,333.4
1904-07-16,4.25,-74.75,71.8
1904-07-16,4.25,-74.25,117.5
1904-07-16,4.25,-73.75,624.10004
1904-07-16,4.25,-73.25,396.1
1904-07-16,4.75,-74.75,65.5
1904-07-16,4.75,-74.25,61.4
1904-07-16,4.75,-73.75,130.0
1904-07-16,4.75,-73.25,471.0
1904-07-16,5.25,-74.75,105.0
1904-07-16,5.25,-74.25,107.1
1904-07-16,5.25,-73.75,68.6
1904-07-16,5.25,-73.25,179.8
1904-08-16,3.75,-74.75,55.5
1904-08-16,3.75,-74.25,97.1
