lon,lat,time,pre,stn,spi_1,spi_3,spi_6,spi_9,spi_12
-73.75,3.75,2002-05-16,764.4,7.0,1.3955116163924561,1.3007059613198235,0.16609771919397204,0.1303689745423544,0.20275001361637157
-73.75,3.75,2002-06-16,773.4,6.0,1.4201580844947894,1.77771430054154,0.6082621364932936,0.5956821514495841,0.43895406340607934
-73.75,3.75,2002-07-16,578.0,7.0,0.8370541216454451,1.6073462205706566,1.3162762727227242,0.8394069004460157,0.5567661987009903
-73.75,3.75,2002-08-16,317.80002,7.0,-0.19058243144470674,0.943997453880741,1.622083082592784,0.7192392659707392,0.6647818780704676
-73.75,3.75,2002-09-16,399.5,7.0,0.17839962606188853,0.2928885629500237,1.5821892019790742,0.6303266991624337,0.6470016385969241
-73.75,3.75,2002-10-16,439.30002,6.0,0.3399152448421344,0.01971927138547799,1.2553451270032898,1.1094776200960932,0.7152335897109294
-73.75,3.75,2002-11-16,336.7,7.0,-0.09998069744209313,0.05818569669160269,0.6882561014400923,1.4197168063400991,0.6224546934638255
-73.75,3.75,2002-12-16,342.80002,6.0,-0.07147761128509236,-0.05849625446980864,0.05734521723076681,1.317072168832335,0.46986656048568026
-73.75,3.75,2003-01-16,20.5,5.0,-3.2001957838940767,-1.0780139781236304,-0.8833595390125981,0.49080355475165827,0.4406410804752898
-73.75,3.75,2003-02-15,76.3,6.0,-2.003821899228774,-1.9564373641228299,-1.3513633699272076,-0.44285422397902724,0.4501517986043242
-73.75,3.75,2003-03-16,298.0,6.0,-0.2895282287598564,-2.1435313427507356,-1.5625109961149966,-1.1678828620774044,0.2866431512357591
-73.75,3.75,2003-04-16,673.4,6.0,1.1352796688646065,-0.21057049588659468,-1.0888853111931234,-1.0160648159328323,0.24934184743220236
-73.75,3.75,2003-05-16,333.9,7.0,-0.11318144977992853,0.31181562492645143,-1.094283956086923,-0.9907800703355687,-0.2958453799660803
-73.75,3.75,2003-06-16,702.7,6.0,1.2213841032215118,1.0090344884606937,-0.44386025376194355,-0.5312976937263915,-0.38861046309291053
-73.75,3.75,2003-07-16,311.5,7.0,-0.22159678965237453,0.39175599438499575,0.028930139718554564,-0.721246401740236,-0.7473165556292869
-73.75,3.75,2003-08-16,439.9,7.0,0.3422741489514236,0.5827738875865444,0.5685676848494235,-0.5674602417354351,-0.5811495348830429
-73.75,3.75,2003-09-16,472.2,7.0,0.4662477106677154,0.15425207590384102,0.8105075068095491,-0.3792860768064977,-0.4836890207745346
-73.75,3.75,2003-10-16,458.30002,6.0,0.4136059521310298,0.432743397009553,0.5103125951275624,0.2231668979641988,-0.45839436091997016
-73.75,3.75,2003-11-16,626.9,7.0,0.9935693235493952,0.7603135436634477,0.9156485838023248,0.9180272912355716,-0.08071610978818433
-73.75,3.75,2003-12-16,264.5,6.0,-0.4677529687751256,0.39471176722042106,0.29869091210883164,0.8774801547210269,-0.18106368584043825
-73.75,3.75,2004-01-16,91.700005,6.0,-1.8072081221785696,-0.3549095750499854,-0.037310381423114214,0.13732173269655945,-0.08976926279808797
-73.75,3.75,2004-02-15,265.9,6.0,-0.46000208984309227,-1.3121371659461731,-0.31850247629207296,0.045873633860678775,0.14896510192771073
-73.75,3.75,2004-03-16,146.90001,6.0,-1.259455419151327,-1.708506918378157,-0.887798964571034,-0.7484227772718521,-0.04078500291118618
-73.75,3.75,2004-04-16,717.8,6.0,1.2648679140335974,-0.033892041654501145,-0.42876914765212515,-0.15927055343545535,0.01538162762143611
-73.75,3.75,2004-05-16,548.5,7.0,0.7384516445419137,0.5101928219082841,-0.5632178871080388,-0.009680256039101902,0.2821109270489955
-73.75,3.75,2004-06-16,414.4,6.0,0.24006967960886824,0.9624323130905338,-0.3090567746941571,-0.08891394587566505,-0.0780402319444128
-73.75,3.75,2004-07-16,594.7,6.0,0.8914344503688526,0.7606496089437729,0.46678075860759277,0.09671309754873603,0.275861144212297
-73.75,3.75,2004-08-16,250.0,6.0,-0.549754443014686,0.2235494786570222,0.44380757565291906,-0.42824538310480814,0.04006627309415222
-73.75,3.75,2004-09-16,422.30002,6.0,0.2721694166147696,0.23879346933697906,0.8296730338813683,-0.2038024051305938,-0.022910556257510935
-73.75,3.75,2004-10-16,504.0,0.0,0.5829584467240048,0.05980472464137561,0.5323149330079787,0.35193615126144984,0.034782213854315444
