time,longitude,latitude,tp
2003-10-01,-73.7,4.6,10.47121
2003-11-01,-73.7,4.6,8.21162
2003-12-01,-73.7,4.6,6.9439707
2004-01-01,-73.7,4.6,8.092694
2004-02-01,-73.7,4.6,6.0763507
2004-03-01,-73.7,4.6,7.368326
2004-04-01,-73.7,4.6,10.338768
2004-05-01,-73.7,4.6,13.75249
2004-06-01,-73.7,4.6,9.871178
2004-07-01,-73.7,4.6,9.192758
2004-08-01,-73.7,4.6,7.6494217
2004-09-01,-73.7,4.6,8.511633
2004-10-01,-73.7,4.6,8.157558
2004-11-01,-73.7,4.6,8.319728
2004-12-01,-73.7,4.6,7.6440125
2005-01-01,-73.7,4.6,7.603474
2005-02-01,-73.7,4.6,6.1033816
2005-03-01,-73.7,4.6,4.730329
2005-04-01,-73.7,4.6,12.8389225
2005-05-01,-73.7,4.6,11.473976
2005-06-01,-73.7,4.6,10.29823
2005-07-01,-73.7,4.6,10.573916
2005-08-01,-73.7,4.6,8.754894
2005-09-01,-73.7,4.6,7.2115583
2005-10-01,-73.7,4.6,12.2794285
2005-11-01,-73.7,4.6,10.446884
2005-12-01,-73.7,4.6,7.9953895
2006-01-01,-73.7,4.6,8.8576
2006-02-01,-73.7,4.6,6.0250015
2006-03-01,-73.7,4.6,12.971356
2006-04-01,-73.7,4.6,14.322795
2006-05-01,-73.7,4.6,10.803662
2006-06-01,-73.7,4.6,10.519862
2006-07-01,-73.7,4.6,10.655008
2006-08-01,-73.7,4.6,6.960191
2006-09-01,-73.7,4.6,5.292527
2006-10-01,-73.7,4.6,9.965777
2006-11-01,-73.7,4.6,8.411631
2006-12-01,-73.7,4.6,6.297991
2007-01-01,-73.7,4.6,5.4925385
2007-02-01,-73.7,4.6,3.0815825
2007-03-01,-73.7,4.6,9.33601
2007-04-01,-73.7,4.6,10.609053
2007-05-01,-73.7,4.6,11.52803
2007-06-01,-73.7,4.6,10.725282
2007-07-01,-73.7,4.6,8.065663
2007-08-01,-73.7,4.6,10.236062
2007-09-01,-73.7,4.6,7.3926525
2007-10-01,-73.7,4.6,10.77123
2007-11-01,-73.7,4.6,8.230537
2007-12-01,-73.7,4.6,9.419799
2008-01-01,-73.7,4.6,6.603412
2008-02-01,-73.7,4.6,9.2765465
2008-03-01,-73.7,4.6,10.6928425
2008-04-01,-73.7,4.6,10.930695
2008-05-01,-73.7,4.6,12.638905
2008-06-01,-73.7,4.6,14.328197
2008-07-01,-73.7,4.6,11.725336
2008-08-01,-73.7,4.6,7.8980846
2008-09-01,-73.7,4.6,6.960191
2008-10-01,-73.7,4.6,9.190053
2008-11-01,-73.7,4.6,11.665874
2008-12-01,-73.7,4.6,8.6170435
2009-01-01,-73.7,4.6,8.438654
2009-02-01,-73.7,4.6,8.587316
2009-03-01,-73.7,4.6,12.290239
2009-04-01,-73.7,4.6,12.41187
2009-05-01,-73.7,4.6,8.527853
2009-06-01,-73.7,4.6,11.852376
2009-07-01,-73.7,4.6,9.265736
2009-08-01,-73.7,4.6,8.8576
2009-09-01,-73.7,4.6,5.2492766
2009-10-01,-73.7,4.6,8.384601
2009-11-01,-73.7,4.6,6.279066
2009-12-01,-73.7,4.6,3.9248765
2010-01-01,-73.7,4.6,2.2815318
2010-02-01,-73.7,4.6,5.8601274
2010-03-01,-73.7,4.6,6.889917
2010-04-01,-73.7,4.6,18.23113
2010-05-01,-73.7,4.6,13.217322
2010-06-01,-73.7,4.6,10.333366
2010-07-01,-73.7,4.6,11.60641
2010-08-01,-73.7,4.6,9.246811
2010-09-01,-73.7,4.6,9.206273
2010-10-01,-73.7,4.6,11.373967
2010-11-01,-73.7,4.6,12.59026
2010-12-01,-73.7,4.6,8.711643
2011-01-01,-73.7,4.6,4.7978983
2011-02-01,-73.7,4.6,13.465985
2011-03-01,-73.7,4.6,13.122723
2011-04-01,-73.7,4.6,17.766237
2011-05-01,-73.7,4.6,15.185006
2011-06-01,-73.7,4.6,10.730684
2011-07-01,-73.7,4.6,10.941505
2011-08-01,-73.7,4.6,7.9683585
2011-09-01,-73.7,4.6,6.719634
2011-10-01,-73.7,4.6,10.427967
2011-11-01,-73.7,4.6,13.679512
2011-12-01,-73.7,4.6,9.1305895
2012-01-01,-73.7,4.6,8.535959
2012-02-01,-73.7,4.6,9.3224945
2012-03-01,-73.7,4.6,14.190353
2012-04-01,-73.7,4.6,15.212037
2012-05-01,-73.7,4.6,11.282071
2012-06-01,-73.7,4.6,9.527914
2012-07-01,-73.7,4.6,10.622568
2012-08-01,-73.7,4.6,9.465747
2012-09-01,-73.7,4.6,6.1628447
2012-10-01,-73.7,4.6,11.4253235
2012-11-01,-73.7,4.6,6.297991
2012-12-01,-73.7,4.6,6.889917
2013-01-01,-73.7,4.6,4.419498
2013-02-01,-73.7,4.6,12.798376
2013-03-01,-73.7,4.6,9.419799
2013-04-01,-73.7,4.6,13.109207
2013-05-01,-73.7,4.6,16.876995
2013-06-01,-73.7,4.6,9.598188
2013-07-01,-73.7,4.6,10.982052
2013-08-01,-73.7,4.6,10.884747
2013-09-01,-73.7,4.6,8.435957
2013-10-01,-73.7,4.6,7.243991
2013-11-01,-73.7,4.6,11.55506
2013-12-01,-73.7,4.6,6.7872105
2014-01-01,-73.7,4.6,6.1547384
2014-02-01,-73.7,4.6,10.411747
2014-03-01,-73.7,4.6,10.373905
2014-04-01,-73.7,4.6,11.452347
2014-05-01,-73.7,4.6,11.60641
2014-06-01,-73.7,4.6,12.952439
2014-07-01,-73.7,4.6,12.371324
