time,lon,lat,pre
1929-05-16,-73.75,4.75,160.5
1929-06-16,-73.75,4.75,159.40001
1929-07-16,-73.75,4.75,146.7
1929-08-16,-73.75,4.75,57.600002
1929-09-16,-73.75,4.75,69.6
1929-10-16,-73.75,4.75,86.1
1929-11-16,-73.75,4.75,46.9
1929-12-16,-73.75,4.75,9.6
1930-01-16,-73.75,4.75,43.2
1930-02-15,-73.75,4.75,43.8
1930-03-16,-73.75,4.75,81.200005
1930-04-16,-73.75,4.75,113.9
1930-05-16,-73.75,4.75,78.5
1930-06-16,-73.75,4.75,187.0
1930-07-16,-73.75,4.75,214.6
1930-08-16,-73.75,4.75,99.200005
1930-09-16,-73.75,4.75,68.3
1930-10-16,-73.75,4.75,117.9
1930-11-16,-73.75,4.75,48.2
1930-12-16,-73.75,4.75,31.6
1931-01-16,-73.75,4.75,17.300001
1931-02-15,-73.75,4.75,49.5
1931-03-16,-73.75,4.75,50.4
1931-04-16,-73.75,4.75,93.6
1931-05-16,-73.75,4.75,128.0
1931-06-16,-73.75,4.75,174.8
1931-07-16,-73.75,4.75,257.80002
1931-08-16,-73.75,4.75,77.3
1931-09-16,-73.75,4.75,96.200005
1931-10-16,-73.75,4.75,112.4
1931-11-16,-73.75,4.75,132.5
1931-12-16,-73.75,4.75,65.1
1932-01-16,-73.75,4.75,57.8
1932-02-15,-73.75,4.75,34.3
1932-03-16,-73.75,4.75,28.5
1932-04-16,-73.75,4.75,64.3
1932-05-16,-73.75,4.75,125.1
1932-06-16,-73.75,4.75,111.4
1932-07-16,-73.75,4.75,160.8
1932-08-16,-73.75,4.75,67.6
1932-09-16,-73.75,4.75,103.3
1932-10-16,-73.75,4.75,147.3
1932-11-16,-73.75,4.75,132.90001
1932-12-16,-73.75,4.75,55.600002
1933-01-16,-73.75,4.75,25.800001
1933-02-15,-73.75,4.75,8.7
1933-03-16,-73.75,4.75,80.5
1933-04-16,-73.75,4.75,180.90001
1933-05-16,-73.75,4.75,137.90001
1933-06-16,-73.75,4.75,165.8
1933-07-16,-73.75,4.75,108.3
1933-08-16,-73.75,4.75,102.9
1933-09-16,-73.75,4.75,70.1
1933-10-16,-73.75,4.75,118.4
1933-11-16,-73.75,4.75,162.6
1933-12-16,-73.75,4.75,65.4
1934-01-16,-73.75,4.75,29.9
1934-02-15,-73.75,4.75,58.2
1934-03-16,-73.75,4.75,78.200005
1934-04-16,-73.75,4.75,38.9
1934-05-16,-73.75,4.75,155.7
1934-06-16,-73.75,4.75,126.5
1934-07-16,-73.75,4.75,186.90001
1934-08-16,-73.75,4.75,66.6
1934-09-16,-73.75,4.75,57.600002
1934-10-16,-73.75,4.75,134.90001
1934-11-16,-73.75,4.75,120.3
1934-12-16,-73.75,4.75,36.4
1935-01-16,-73.75,4.75,52.7
1935-02-15,-73.75,4.75,72.3
1935-03-16,-73.75,4.75,108.6
1935-04-16,-73.75,4.75,122.700005
1935-05-16,-73.75,4.75,102.9
1935-06-16,-73.75,4.75,168.40001
1935-07-16,-73.75,4.75,224.1
1935-08-16,-73.75,4.75,166.1
1935-09-16,-73.75,4.75,78.3
1935-10-16,-73.75,4.75,101.5
1935-11-16,-73.75,4.75,215.1
1935-12-16,-73.75,4.75,12.5
1936-01-16,-73.75,4.75,26.6
1936-02-15,-73.75,4.75,23.7
1936-03-16,-73.75,4.75,71.9
1936-04-16,-73.75,4.75,55.9
1936-05-16,-73.75,4.75,140.5
1936-06-16,-73.75,4.75,163.8
1936-07-16,-73.75,4.75,157.2
1936-08-16,-73.75,4.75,124.5
1936-09-16,-73.75,4.75,50.4
1936-10-16,-73.75,4.75,124.8
1936-11-16,-73.75,4.75,56.8
1936-12-16,-73.75,4.75,82.6
1937-01-16,-73.75,4.75,57.600002
1937-02-15,-73.75,4.75,46.100002
1937-03-16,-73.75,4.75,90.200005
1937-04-16,-73.75,4.75,48.0
1937-05-16,-73.75,4.75,116.6
1937-06-16,-73.75,4.75,87.1
1937-07-16,-73.75,4.75,183.7
1937-08-16,-73.75,4.75,74.1
1937-09-16,-73.75,4.75,120.3
1937-10-16,-73.75,4.75,104.0
1937-11-16,-73.75,4.75,107.4
1937-12-16,-73.75,4.75,59.4
1938-01-16,-73.75,4.75,58.3
1938-02-15,-73.75,4.75,28.800001
1938-03-16,-73.75,4.75,125.8
1938-04-16,-73.75,4.75,218.40001
1938-05-16,-73.75,4.75,174.2
1938-06-16,-73.75,4.75,88.0
1938-07-16,-73.75,4.75,210.6
1938-08-16,-73.75,4.75,131.2
1938-09-16,-73.75,4.75,37.100002
1938-10-16,-73.75,4.75,178.1
1938-11-16,-73.75,4.75,127.5
1938-12-16,-73.75,4.75,74.3
1939-01-16,-73.75,4.75,13.400001
1939-02-15,-73.75,4.75,7.6
1939-03-16,-73.75,4.75,68.6
1939-04-16,-73.75,4.75,54.8
1939-05-16,-73.75,4.75,90.5
1939-06-16,-73.75,4.75,128.90001
1939-07-16,-73.75,4.75,160.7
1939-08-16,-73.75,4.75,81.0
1939-09-16,-73.75,4.75,41.9
1939-10-16,-73.75,4.75,137.6
1939-11-16,-73.75,4.75,64.200005
1939-12-16,-73.75,4.75,45.0
1940-01-16,-73.75,4.75,32.600002
1940-02-15,-73.75,4.75,32.0
1940-03-16,-73.75,4.75,21.4
1940-04-16,-73.75,4.75,57.7
1940-05-16,-73.75,4.75,98.1
1940-06-16,-73.75,4.75,94.700005
1940-07-16,-73.75,4.75,91.9
1940-08-16,-73.75,4.75,62.8
1940-09-16,-73.75,4.75,49.2
1940-10-16,-73.75,4.75,132.6
