lon,lat,time,pre,stn,spi_1,spi_3
-73.75,4.75,1980-04-16,100.8,8.0,0.3360656539071078,-0.8062585120397722
-73.75,4.75,1980-05-16,94.0,8.0,0.2142097611544534,-0.3463063850806648
-73.75,4.75,1980-06-16,194.40001,8.0,1.6394669434213556,0.9118039100749795
-73.75,4.75,1980-07-16,93.6,8.0,0.2068614758067596,0.8618683739220868
-73.75,4.75,1980-08-16,113.8,8.0,0.55466920724727,0.9977662717688935
-73.75,4.75,1980-09-16,96.0,8.0,0.25064183266807133,0.27156315222574406
-73.75,4.75,1980-10-16,103.3,8.0,0.37949186814560726,0.34949559442300876
-73.75,4.75,1980-11-16,59.5,8.0,-0.5186516318344924,-0.10989438993113992
-73.75,4.75,1980-12-16,53.3,8.0,-0.679853307944443,-0.5191804991544533
-73.75,4.75,1981-01-16,10.6,8.0,-2.5646839801340997,-1.6544427075277786
-73.75,4.75,1981-02-15,68.0,8.0,-0.3155754942427564,-1.5291530543494032
-73.75,4.75,1981-03-16,34.5,8.0,-1.2683658751078315,-1.81483334342704
-73.75,4.75,1981-04-16,178.0,8.0,1.4461332331185386,0.08076718316805835
-73.75,4.75,1981-05-16,236.90001,8.0,2.0971911660305804,1.3076256776854978
-73.75,4.75,1981-06-16,163.90001,8.0,1.2707127662671671,2.0557823249421148
-73.75,4.75,1981-07-16,101.5,8.0,0.34829615721565965,1.6281701610717176
-73.75,4.75,1981-08-16,140.7,8.0,0.9598228264106411,1.0267023122610364
-73.75,4.75,1981-09-16,71.6,8.0,-0.23482035681570385,0.3550572433644904
-73.75,4.75,1981-10-16,115.9,8.0,0.5884154635920945,0.46769392217252514
-73.75,4.75,1981-11-16,89.9,8.0,0.13787475551322487,0.05414957038188778
-73.75,4.75,1981-12-16,42.0,8.0,-1.0113106513803778,-0.21067145872655896
-73.75,4.75,1982-01-16,38.2,8.0,-1.137010401353422,-1.027702096640604
-73.75,4.75,1982-02-15,60.8,8.0,-0.48634864552286294,-1.4012326971043076
-73.75,4.75,1982-03-16,79.8,8.0,-0.060696683089543166,-0.924802531012662
-73.75,4.75,1982-04-16,228.40001,8.0,2.0099918484145456,0.7701309037037696
-73.75,4.75,1982-05-16,130.90001,8.0,0.8185720466208827,1.242439155742353
-73.75,4.75,1982-06-16,86.0,8.0,0.06306948013333812,1.2817937215000015
-73.75,4.75,1982-07-16,86.1,8.0,0.06501566978753594,0.2683142394273958
-73.75,4.75,1982-08-16,61.3,8.0,-0.47405174334846556,-0.34727443053744966
-73.75,4.75,1982-09-16,52.4,8.0,-0.7043253853874659,-0.6899808803241234
-73.75,4.75,1982-10-16,119.200005,8.0,0.6406459608560924,-0.35211910745275554
-73.75,4.75,1982-11-16,83.6,8.0,0.01589658107633281,-0.14255233559675248
-73.75,4.75,1982-12-16,41.0,8.0,-1.0435729434990242,-0.24806557890744213
-73.75,5.25,1980-01-16,22.1,8.0,-1.680961659198951,
-73.75,5.25,1980-02-15,49.0,8.0,-0.5453563823573508,
-73.75,5.25,1980-03-16,36.8,8.0,-0.9839299173824492,-1.758993767877629
-73.75,5.25,1980-04-16,97.0,8.0,0.6758026223793449,-0.5038027801590241
-73.75,5.25,1980-05-16,74.5,8.0,0.17104281646101452,-0.15959011400134246
-73.75,5.25,1980-06-16,117.700005,8.0,1.0761607497774568,0.7739925702866687
-73.75,5.25,1980-07-16,53.7,8.0,-0.39679523850456255,0.29964821371127354
-73.75,5.25,1980-08-16,73.3,8.0,0.14142732399467386,0.28574358667766986
-73.75,5.25,1980-09-16,69.9,8.0,0.05571435849109815,-0.30973374706581813
-73.75,5.25,1980-10-16,104.6,8.0,0.8286955563314795,0.32157265619889236
-73.75,5.25,1980-11-16,64.3,8.0,-0.09178641287413007,0.2167111390160576
-73.75,5.25,1980-12-16,53.4,8.0,-0.4060041694849517,0.017418707246610432
-73.75,5.25,1981-01-16,13.3,8.0,-2.2881732303345386,-1.320302720229324
